,Unnamed: 0,Job Role,Company,Job_Description,id
582,582,javamlpython,alp consulting ltd,"experience 4years

budget 17  20 lpa

location bangalorewfo

techm110764

bebtechmemtech in computer science with minimum 4 years of experience

notice period  upto 30 days joiners

requirements and skills

core skill  javamlpython

bebtechmemtech in computer science with minimum 4 years of experience

knowledge in html css javascript machine learning and deep learning

very good programming skills and indepth knowledge of javascript  python

experience with machine learning frameworks and libraries

proven working experience in web programming

understanding of nlp techniques semantic extraction techniques data structures and modeling

very good understanding of how web applications work including security session management and best development practices

strong organizational skills to juggle multiple tasks within the constraints of timelines

ability to effectively design software architecture

ability to work and thrive in a fastpaced environment with quick learning skills

responsibilities

strong communication skills with analytical mind with problemsolving abilities

writing well designed testable efficient code by using best software development practices

ability to write robust and testable code with clear software documentation",582
583,583,data engineer,cummins inc,"description

core duties

implement and automate deployment of distributed systemsperform extensive etl development using ssis and pythonutilize sql and rdbms for data manipulation and storagefamiliarity with snowflake and power bi

qualifications

qualifications and skills

bachelors degree in a relevant technical discipline or equivalent experienceproficiency in sql etl development and cloudbased implementationexperience with big data technologies eg spark scalajava mapreduce hive hbase kafkafamiliarity with data governance principles and practicesknowledge of devops scrum and kanban methodologiesstrong problemsolving skills and attention to detailexcellent communication and collaboration skillsexperience with power bi snowflake and python is a plusminimum 3 years of relevant experience

job systemsinformation technology

primary location indiamaharashtrapuneindia pune ioc tower a

job type experienced  exempt  office

recruitment job type exempt  experienced

job posting may 16 2024 23000 am

unposting date may 31 2024 22900 am

organization corporate

role category remote  the location of this role is flexible to certain locations

relocation package eligible

req id 240003qd",583
584,584,senior data analyst,gameskraft,"overviewas a senior data analyst you will play a crucial role in extracting valuable insights from large datasets to support informed decisionmaking within the organization your responsibilities will include data collection analysis interpretation and presentation of findings to various stakeholders the ideal candidate should possess strong analytical skills attention to detail and the ability to translate complex data into actionable recommendations
what you will do use statistical methods to analyse data and generate useful finance reportidentify analyse and interpret trends or patterns in complex data setwork closely finance team to create a prioritised list of needs for each finance segmentuse data to create models that depict trends from the informationwork with departmental managers to outline the specific data needs for each financialmethod analysis project
what youll bring well apart from a few cookies every day itd be great if you come with these bachelor s degree in mathematics or computer engineering3  5 years in a data analysis roleproven working experience as a data analyst or business data analyst strong knowledge and experience with reporting packagesstrong knowledge of and experience with reporting packages business objects etc databases sql etcstrong analytical skills with the ability to collect organize analyse and disseminate significant amounts of information with attention to detail and accuracyknowledge of statistics and experience using statistical packages for analysing datasets excel spss sas etctableaupowerbi  advantage
key responsibilitiesdata collectiongather clean and preprocess data from various sources to ensure its accuracy and reliabilitycollaborate with internal teams to understand data requirements and source necessary informationdata analysisutilize statistical methods and data analysis tools to identify trends patterns and correlations within datasetsperform exploratory data analysis to uncover insights and provide actionable recommendationsdata interpretation and reportingtranslate complex data into understandable insights for nontechnical stakeholdersprepare and present reports dashboards and visualizations to communicate findings effectivelyquality assuranceconduct data validation and quality checks to ensure the integrity and reliability of analytical resultsimplement and maintain data quality standards and best practicesdata modeling and forecastingdevelop and implement statistical models for forecasting trend analysis and predictive analyticscollaborate with the data science team to enhance and optimize existing modelscollaborationwork closely with crossfunctional teams including business analysts it and decisionmakers to understand business needs and provide datadriven solutionsparticipate in meetings and discussions to contribute insights and recommendations based on data analysiscontinuous learningstay updated on industry trends best practices and emerging technologies related to data analysisidentify opportunities for process improvement and automation to enhance efficiency
qualificationsbachelors degree in a relevant field eg statistics mathematics computer science data scienceproven experience as a data analyst or in a similar roleproficiency in data analysis tools such as python r sql or othersstrong knowledge of statistical methods and data visualization techniquesexcellent communication skills and the ability to present complex data findings in a clear and concise mannerattention to detail and problemsolving skills
preferred skillsexperience with data warehousing and big data technologiesknowledge of machine learning concepts and algorithmsfamiliarity with business intelligence tools eg tableau power bi",584
585,585,lead security engineer  information secuirty,dream11,"technology dream11

technology is at the core of everything we do our technology team helps us deliver a mobilefirst experience across platforms android  ios while managing over 300 million rpm requests per minute at peak with a user concurrency of 10 million

we have over 150 microservices written in java and backed by a vertx framework these work with isolated product features with discrete architectures to cater to the respective use cases

we work with terabytes of data the infrastructure for which is built on top of kafka redshift spark druid etc and it powers a number of use cases like machine learning and predictive analytics our tech stack is hosted on aws with distributed systems like cassandra aerospike akka voltdb ignite etc

your role

 lead the organisations tech compliance requirements such as but not limited to pcidss rbi system audit reports itgc iso 27001 and data privacyperform security risk assessments isms audits and privacy risk evaluationsconduct cloud risk assessments and implementing applicable controls develop implement  review security policies frameworks and processes perform security configuration audits user access and entitlement reviews gap assessments

qualifiers

7 years in risk assessment enterprise security assessment and isms audits certifications like cisa iso 27001 cipm cipt cpisi or related are preferred strong stakeholder management and communication skills

about dream sports

dream sports is indias leading sports technology company with 220 million users housing brands such as dream11  the worlds largest fantasy sports platform fancode  a premier sports content  commerce platform and dreamsetgo  a sports experiences platform

dream sports is based in mumbai and has a workforce of close to 1000 sportans founded in 2008 by harsh jain and bhavit sheth dream sports vision is to make sports better for fans through the confluence of sports and technology

for more information httpsdreamsportsgroup

dream11 is the worlds largest fantasy sports platform with 200 million users playing fantasy cricket football kabaddi basketball hockey volleyball handball rugby futsal american football  baseball on it dream11 is the flagship brand of dream sports indias leading sports technology company and has partnerships with several national  international sports bodies and cricketers",585
586,586,data stage developer,tata consultancy services,"greetings from tcs
tcs is hiring for 
role datastage developerlocation mumbaiexperience 6 years
role and responsibilitieshands on experience in datastage etl tool for bidw projects hands on experience in sql unix scripting sound knowledge of database concepts sound knowledge of bidw concepts",586
587,587,python developer,dexian india,"job role python developerexperience 3  5 yearswork type hybridwork location bangaloreskills python programming any python frameworkdjango pyspark pycharm numpy pandas test automation experience server  storage  network domain
qualifications hands on with python programmingexperience with automation framework and debug3 years of handson experience in test automation using python in server  storage  network domaincommunication skills  written and verbal",587
588,588,python developer,innovator web solutions pvt ltd,"job category development

job type full time

job location malad w

we are looking for a python web developer responsible for managing the interchange of data between the server and the users

good to have a knowledge of django web framework

knowledge of python django framework understanding of serverside scripting languages

strong experience using web services and apis in python

hands on python  django experience esp with mysql  django rest framework

minimum 5 years experience in designing and developing applications using python",588
589,589,director,gitam deemed university,"roles and responsibilities
1 strategic leadership  demonstrate unwavering commitment to the mission and vision of the school of humanities the college and the university embodying values of excellence diversity sustainability and global involvement  foster an environment that encourages experimentation development of new ideas and innovative programs to enhance student faculty and staff successes2 academic administration  lead manage and administer all aspects of the school of humanities ensuring the delivery of highquality education and adherence to academic standards  develop a contemporary relevance to gandhian ideology through the creation and implementation of diverse courses promoting valuebased education to students3 faculty management  exhibit excellent people skills to effectively manage and lead faculty members from various departments within the gitam school of humanities and social sciences gshs  facilitate a collaborative and supportive environment encouraging professional development and academic excellence among faculty4 interdisciplinary understanding  hailing from any of the relevant departments psychology english history etc possess a broader understanding of social sciences as a comprehensive portfolio  foster interdisciplinary collaboration and initiatives to enrich the academic experience for students and faculty5 research and global exposure  demonstrate a deep appreciation for the latest research in humanities and social sciences  actively pursue and encourage faculty involvement in funded research projects leveraging such initiatives to enhance the academic reputation of the school  bring global exposure to the role incorporating international perspectives and best practices into the curriculum6 cultural immersion programs  organize and oversee cultural immersion programs providing students with enriching experiences that align with the global and gandhian ethos of the school  foster an inclusive and diverse learning environment that reflects the cultural richness of humanities and social sciences7 academic process expertise  leverage prior experience as a head of department hod to navigate and enhance the nuances of academic processes within the school  implement best practices ensuring efficient and effective academic operations application process 1 interested candidates should submit a resume cover letter and to establishmentblrgitamedu by 22nd december 2023 please include director gshs blr  your name in the subject line of your email 2 gitam university is an equalopportunity employer and welcomes candidates from diverse backgrounds to apply
note  this job description is intended to convey information essential to understanding the scope of the position and is not an exhaustive list of skills efforts duties responsibilities or working conditions associated with it job duties may be subject to change or modification based on the needs of the university
qualification  skills required  doctorate in a relevant field within humanities or social sciences  extensive university teaching and leadership experience of minimum 15 years and within an educational setting preferably in a deemed university  strong commitment to values of excellence diversity sustainability and global engagement  proven ability to lead and manage faculty members from diverse academic backgrounds  track record of promoting interdisciplinary collaboration and fostering a culture of experimentation and innovation  demonstrated appreciation for the latest research trends and ideally involvement in funded research projects  global exposure and understanding of international education trends  previous experience as a head of department hod in one of the departments within humanities or social sciences",589
590,590,interesting job opportunity javaj2ee developer  microservices architecture,atech,"designation  javaj2ee developer

job description

 contribute to all phases of the development lifecycle working within agile methodology write well designed testable efficient code ensure designs are in compliance with specifications prepare and produce releases of software components support continuous improvement by investigating alternatives and technologies and presenting these for architectural review handson experience designing and developing enterprise applications using javaj2ee spring boot spring mvc experience of developing microservices knowledge of relational databases sql and nosql databases experience developing restful apis experience with tddbdd testing framework understanding of common design patterns exposure to containerization docker kubernetes experience of grpc and kafka some exposure to cloud platforms proficiency in agile development methodologies and tools eg jira confluence extensive experience with javaj2ee and wso2 development experience in front end development using framework like angular good to have knowledge of microservice based architecture experience in deploying application in linux based environments good to have

roles  responsibilities

 strong problemsolving skills ability to work independently and effective collaboration capabilities excellent communication and interpersonal skills with the ability to effectively convey complex technical concepts to nontechnical stakeholders designing and developing highperformance reliable and scalable javabased backend applications and services in compliance with industry standards collaborating with crossfunctional teams including data scientists architects and frontend developers to ensure seamless integration analyzing business requirements proposing technical solutions and providing accurate estimations for development efforts collaborating with product management and engineering teams to define project scope timelines and deliverables participating in code reviews and providing constructive feedback to ensure code quality maintainability and performance optimization

refhiristtech",590
591,591,email developer,barclays investment bank,"job title email developer

location pune

about barclays

barclays is a british universal bank we are diversified by business by different types of customers and clients and by geography our businesses include consumer banking and payments operations around the world as well as a toptier full service global corporate and investment bank all of which are supported by our service company which provides technology operations and functional services across the group

risk and control objective

take ownership for managing risk and strengthening controls in relation to the work you do

working flexibly

structured hybrid role

at barclays we offer a hybrid working experience that blends the positives of working alongside colleagues at our onsite locations together with working from home we have a structured approach where colleagues work at an onsite location on fixed anchor days of the week for a minimum of two days a week or more as set by the business area or nearest equivalent if working parttime hours please discuss the working pattern requirements for the role you are applying for with the hiring manager please note that as we continue to embed our hybrid working environment we remain in a test and learn phase which means that working arrangements may be subject to change on reasonable notice to ensure we meet the needs of our business

introduction

the salesforce marketing cloud lead will be responsible for deploying email and sms via our sfmc tool they will be responsible for working with key stakeholders both within and outside the martech organization to capture requirements and delivery timelines to build email and sms communications enhancements and new capabilities

what will you be doing


 design and develop email and sms notifications using salesforce marketing cloud application build email and sms templates within marketing cloud including qa responsible for migration of campaigns and development into sfmc email and mobile channels establish operating model for deploying email and sms to ensure adherence to defined slas partner deadlines and controls implement journey builder solutions for capturing customer journey using salesforce marketing cloud application provide leadershipguidance to program teams on the end to end customer journey across products and platforms


what were looking for


 certified salesforce marketing cloud specialist certified salesforce certified marketing cloud developer certified salesforce certified marketing cloud consultant 36 years of experience building and deploying marketing communications and emailsms templates via the sfmc tool experience with sfmc development tasks building email templates content blocks journey building ability to adhere to slas manage capacity accordingly and partner with stakeholders to effectively manage marketing communications html knowledge including custom developed code 4year college degree in marketing business computer science or other related area


skills that will help you in the role


 extensive experience and deep understanding of email and sms channel strongly preferred holistic understanding of marketing marketing operations process and technology agile process strongly preferred controls oriented


where will you be working

pune

be more at barclays

at barclays each day is about being more  as a professional and as a person be more  barclays represents our core promise to all current and future employees its the characteristic that we want to be associated with as an employer and at the heart of every employee experience we empower our colleagues to be more globally connected working on international projects that improve the way millions of customers handle their finances be more inspired by working alongside the most talented people in the industry and delivering imaginative new solutions that are redefining the future of finance be more impactful by having the opportunity to work on cuttingedge projects and be more valued for who you are

interested and want to know more about barclays visit homebarclayswhoweare for more details

purpose values and mindset

we deploy finance responsibly to support people and businesses acting with empathy and integrity championing innovation and sustainability for the common good and the long term

our values underpin everything we do respect integrity service excellence and stewardship

respect

we harness the power of diversity and inclusion in our business trust those we work with and value everyones contribution

integrity

we operate with honesty transparency and fairness in all we do

service

we act with empathy and humility putting the people and businesses we serve at the centre of what we do

excellence

we champion innovation and use our energy expertise and resources to make a positive difference

stewardship

we prize sustainability and are passionate about leaving things better than we found them

our mindset shapes how we take action living by our values driven by our purpose always with our customers and clients at the heart of what we do our mindset is to empower challenge and drive

empower

trust and support each other to deliver make decisions with those closest to the topic include diverse perspectives celebrate success and learn from failure

challenge

question whether things can be done better use insights based on data to inform decisions be curious about how we can adapt and improve speak up and be open to alternative viewpoints

drive

focus on outcomes deliver with pace be passionate and ambitious about what we do take personal responsibility actively build collaborative relationships to get things done",591
592,592,software developer,idz digital private limited,"job duties as a software developer a typical day might include the following

working on new game codes

brainstorming with the team to get new game ideas

working on prototyping games

updating and solving bugs in our mobile app

testing the mobile app on the actual devices in ios and android

writing code for new features apps and products

key requirements this job might be for you if

you enjoy trying new things

you are good in logic and solving puzzles

you love taking up new challenges and finding creative solutions

you dont get frustrated easily

if you dont know something you try to learn it

you are a selflearner

you enjoy working on new ideas and tools

you like helping people and working in a team to find creative solutions

you are a focussed person who does every work with total dedication

you are an innovative thinker who can think out of the box

what will you learn

you will learn about the complete app development lifecycle

you will learn about mobile app development

you will learn the art of persistence in which you keep trying new ways to solve a problem",592
593,593,data engineer,alp consulting ltd,"actively uses spark with  databricks or similar and keeps up to date with featuresdevelopmentsdetails

 designed and executed ml machine learning pipelines understand and design for ml pipelines ml optimizations at least 4 years fully engaged in spark include scala queries at least 4 years of largescale data processing they call this project roadrunner jenkins and airflow based workflows for extracting and assembling the key business data for data sciences team and business analysts scala spark scheduled thru airflow picking up avro json from bunch of aws s3 buckets experience in extraction transformation feed and prepare such a way that data science team and business analysts can use it",593
594,594,qa programmer analyst,transgraph consulting pvt ltd,"designation qa programmer analyst  education any graduationpost graduation  work experience 2

years  technical skills

manual testingmandatorysql queryknowledgeautomation testing selenium and core javac etc knowledgestatisticsbasic knowledgebug tracking toolknowledge  department information technology  roles and responsibilitieswe are looking for a candidate wholl be working with the product development teamthe qa programmer analyst should be technically strong in both manual and automation testing and have knowledge of software qa methodologiesshould be able to analyze the requirements identify the test scenarios and write associated test cases knowledge of agile methodologies is a plusgood communication and analytical skills  technical skillstechnology manual testing selenium web driver automation testing java sql agile",594
595,595,technical architect,exela technologies,"job title  technical architect netrequired experience  12 yearslocation  pune office based
key responsibilities design software systems using microsoft technologies and ensure compliance with architecture requirementsshould have good experience in architecture code review and extensive knowledge of software design patternsdevelop solutions for various components and recommend changes for various customersdesign architecture for different components and validate toolsparticipate in architectural meetings and analyse all technical requirements for dot net applicationsreview infrastructure for any issues and recommend appropriate solutionsestablish architectural methodology for all deliverablesmonitor application architecture and ensure the proper implementation of all solutions
technical skills dot net design patterns building architecturedesirable skills sql unified modeling language umlgood to have tfs github azure",595
596,596,financial analyst,dalmia bharat group,"role regional mis  reporting lead  deputy manager  manager
desired candidate profile chartered accountants with 10 years of experince having proven experince in mis reporting  analytics domain in a similar role preferably in manufacturing sector may apply candidates must have worked in sap and have excellent analytical capability candidate should also be open to relocate to guwahati assam
objective of the role the purpose of this role is lead the responsibility for reporting and monitoring of overall fixed  variable cost expenditure for ne region and further analysis for insightfocused outputs to help the management devise timely strategies for necessary control measures
perks and benefitsnegotiable as per industry standards
key responsibilities
ensure effective monitoring and control on departmentwise fixed costs within the budgeted figuresensure alignment of fixed cost booking with correct cost center in sap including fund center authorization  creation for all ne locationsdaily monitoring  reporting of fcvc including reconciliation with books of accountsresponsible for mis  reporting of various critical reports fc report target rp  actual rm procurement rp vs actual monthly rolling plan corporate governance report board meeting related presentation and reports ne cluster report flash report clinker ncr report project viability  cash flow reports power mix analysis report subsidy estimation exceptional reporting any other adhoc mis reporting on fcvc etcstandalone financial projection for advance tax and other purposesdcnel budget presentation along with estimation and comparisonworking capital consolidation and analysis of projection vs actual comparison of actualsanalyze mis related to variable cost fixed cost and capex to highlight business points to improve profitability of the companyidentify cost trends market economics and organization specific cost drivers to assist management in devising business models for cost reduction and process improvement effortslead initiatives for digitization and automation of mis reporting including qlik view",596
597,597,full stack developer,buildnext,"title full stack developer team technology salary not a constraint for right candidate location ernakulam job information

the role will typically involve

collaborating with team members to build innovative robust and easytouse featureswrite clean welldesigned code following the design paradigms and coding best practicescontribute to all phases of the development lifecycle building amazing products that meaningfully impact multiple categories of usersbuild new features into the application and updates existing features

skill set

the ideal candidate will have

experience building for products that have scaled and have seen the product evolutiondemonstrable proficiency and experience in php and frontend javascript libraries such as reactjs and vuejshandson experience building applicationsservicesapis using php frameworksgood understanding of restful api designing and implementationbasic understanding of oop mvc and various design patternsexperience with sql databases such as mysql or mariadbwillingness and ability to learn a new domain or pick up new technologiesexperience with the magento framework is good to have

apply now",597
598,598,analyst ii data science r15410,dun  bradstreet,"why we work at dun  bradstreet

dun  bradstreet unlocks the power of data through analytics creating a better tomorrow each day we are finding new ways to strengthen our awardwinning culture and accelerate creativity innovation and growth our 6500 global team members are passionate about what we do we are dedicated to helping clients turn uncertainty into confidence risk into opportunity and potential into prosperity bold and diverse thinkers are always welcome come join us learn more at dnbcomcareers 

key skills

strong analytical and problemsolving skills statistical modelling data analysis risk scorecard development machine learning etc

overview

dun  bradstreet technology and corporate services india llp is looking for candidates for the role of analyst to support the data science team the candidate needs to work closely with the team based in india and across a range of analytics leaders who are located globally to fulfill the deliverables on a timely basis

primary responsibilities include but are not limited to

work across range of analytical solutions that includes design development validation calibration documentation implementation monitoring and reportingextracting large data from various data sources using multiple tools such as python pyspark hadoop sql etc to perform multiple analysisgenerate analytical insights on various customer portfoliosdevelop predictive solutions using advanced statistical techniques to enable better decision makingutilize latest data science techniques across both supervised and unsupervised machine learning methodologies nlp and development of new capabilitiesserve as a subject matter expert on using machine learning techniquescollaborate with technology teams to implement analytical solutions and models

work with stakeholders in providing additional analysis based on specific needs

requirements

2  5 years of relevant experience in data analytics  data science rolesstrong programming skills in tools such as pyspark python r sql to manipulate data and conduct statistical analysisknowledge of python packages and toolssound knowledge and proven experience on application of statistical  machine learning techniquesexperience in bfsi domain  statistical modelling  validation is an added advantageability to interpret and translate data into meaningful business insightsexcellent verbal written communication and presentation skills

all dun  bradstreet job postings can be found at httpswwwdnbcomaboutuscareersandpeoplejoblistingshtml and httpsjobslevercodnb  official communication from dun  bradstreet will come from an email address ending in dnbcom

notice to applicants please be advised that this job posting page is hosted and powered by lever your use of this page is subject to levers privacy notice and cookie policy  which governs the processing of visitor data on this platform",598
599,599,manager  licensing and merchandising,jsw sports pvt ltd,"jsw sports pvt ltd is looking for a manager  licensing  merchandising in mumbai
to apply for this role send in your resumes at careersinsportjswin
key responsibilities
pl custodian for lm programs of all jsw sports franchise teams and athleteslead back end alliances with designers manufacturers and brands to ensure the product range and offering is of high quality standards and catered to market trendsstrategize and implement a sales  marketing strategy for different assets depending on the target market and revenue targetsleverage the growth in the d2c sales market in india to drive revenue growth across sales channels online and offlinework closely with the sponsorship team in developing customised pitches for brands in sports licensing basis product categories and consumer trendsset up of entire full stack of ecommerce portal along with listing on market places and other onlineoffline sales channelsliaise with all regulatory bodies and sporting federations to ensure compliance and effective coordinationestablish and maintain strategic relationships with senior management and external partners distributors agents and licensees to develop and manage activities and promotion to achieve companys objectivesa focal contact person for legal compliance  finance you will be responsible toimplement and manage post transactions sales and license fee payment track and record all sources of revenue",599
600,600,security engineer,flipkart,"about the role

the role of the application security engineer is to perform activities related to security and

privacy by design in the application developed by flipkart and integrate security controls

throughout sdlc life cycle the job holder is responsible for establishing implementing

monitoring reviewing and improving a suitable set of controls for the prevention of threats to

the security of our applications and information assets ensuring the business objectives of

the organization

roles  responsibilites

the candidate should have 3 to 5 years of experience in web application and mobile

application security vulnerability assessment and penetration testing

conduct penetration testing for thin  thick client based applicationsexploit security

flaws and vulnerabilities with attack simulations on multiple applications in android and

ios platform

develop pocexploits for vulnerabilities identifiedperform application security testing of web mobile android and ios and api etcpreparation of the final test reportinteraction and communication with developers for poc and support in mitigation of

vulnerability

security code review for inhouse applicationsprovide remediation guidance to identified vulnerabilitiessolve complex vulnerabilities such as business logic flaws and articulate to both

technical and nontechnical partners

job requirements

good communication and presentation skillsable to take the initiative positive can do attitude and a determination to succeeddevelopment experience in one or more of the technologies python nodejavascript

java golang php

experience with red team exercises threat hunting osintexperience in threat modellingexperience in building security toolsstrong understanding of owasp top 10the candidate should be a team player with good interpersonal skills and should be

able to work independently with minimum supervision in a complex infrastructure",600
601,601,data scientist ii development operations,bristol myers squibb,"working with us

challenging meaningful lifechanging those arent words that are usually associated with a job but working at bristol myers squibb is anything but usual here uniquely interesting work happens every day in every department from optimizing a production line to the latest breakthroughs in cell therapy this is work that transforms the lives of patients and the careers of those who do it youll get the chance to grow and thrive through opportunities uncommon in scale and scope alongside highachieving teams rich in diversity take your career farther than you thought possible

bristol myers squibb recognizes the importance of balance and flexibility in our work environment we offer a wide variety of competitive benefits services and programs that provide our employees with the resources to pursue their goals both at work and in their personal lives read more careersbmscomworkingwithus 

bms hyderabad is an integrated global hub where our work is focused on helping patients prevail over serious diseases by building sustainable and innovative solutions this important science technology and innovation center will support a range of technology and drug development activities that will help us usher in the next wave of innovation

 data scientist ii development operations 

summary we are seeking an experienced individual to join an exceptional team that creates advanced analytical solutions to support development operation at bristol myers squibb this position will provide handson data science and machine learning engineering support and leadership for an endtoend ecosystem of solutions for inline  pipeline short  longterm specifically this role will code validate and test machine learning andor simulation models and develop analytics apps to allow users to interact with these models

roles  responsibilities

conduct analysis and interpretation of complex data sets to derive meaningful insights and recommendations that enhance drug development processdevelop robust and scalable machine learning ml or simulation modelsextract insights from epidemiology real world data market research and other sources to support drug development and clinical trial forecasting modelsstay informed about advancements in pharma forecasting methodologies and toolscontinuously monitor and evaluate the performance of forecasting models including validation of ml modelsprepare reports dashboards and presentations to communicate findings insights and recommendations to stakeholderscollaborate with us  hyderabad based business insights  analytics partners to identify business problems and createconduct analytic plans to address those questionssupport opportunities to enhance the business impact of predictive models such as performance quality and efficiencywork across matrix teams to develop and enhance data infrastructure data pipelines and analytical tools for efficient data collection processing and analysisdocument solution specifications eg architecture data flows algorithms to ensure transparency  reproducibility

 skills  competencies 

strong analytical thinking and problemsolving skills with the ability to analyze complex data sets and draw meaningful conclusionsproficiency in statistical analysis machine learning and data modelingadvanced nlp techniques and deep learning methodologiesstrong communication skills with the ability to present complex information to nontechnical stakeholders in a clear mannerstrong business acumen and strategic thinking with the ability to translate analytical findings into actionable insights and recommendations

 experience 

bachelors or masters degree in computer science engineering applied math bio informatics operations research or equivalent working experience in a highly analytical field3 years experience in a similar data science role preferably within the biopharma or pharmaceutical industryeffective communication and collaboration skillsdemonstrated ability to manage multiple projects simultaneously and deliver highquality results within specified deadlinespreferably experience advanced analytics techniques such as imputation ml engineering hyper parameter tuning mlops as well as offtheshelf solutionsexperience in data processing and visualization tools and statistical software packages eg sql r python tableaudeep interest in the drug development process and preferably experience with pharmaceutical industry analytics including data sources market research rd data or realworld data

gbohyd

if you come across a role that intrigues you but doesnt perfectly line up with your resume we encourage you to apply anyway you could be one step away from work that will transform your life and career

uniquely interesting work lifechanging careers

with a single vision as inspiring as transforming patients lives through science  every bms employee plays an integral role in work that goes far beyond ordinary each of us is empowered to apply our individual talents and unique perspectives in an inclusive culture promoting diversity in clinical trials while our shared values of passion innovation urgency accountability inclusion and integrity bring out the highest potential of each of our colleagues

onsite protocol

bms has a diverse occupancy structure that determines where an employee is required to conduct their work this structure includes siteessential sitebydesign fieldbased and remotebydesign jobs the occupancy type that you are assigned is determined by the nature and responsibilities of your role

siteessential roles require 100 of shifts onsite at your assigned facility sitebydesign roles may be eligible for a hybrid work model with at least 50 onsite at your assigned facility for these roles onsite presence is considered an essential job function and is critical to collaboration innovation productivity and a positive company culture for fieldbased and remotebydesign roles the ability to physically travel to visit customers patients or business partners and to attend meetings on behalf of bms as directed is an essential job function

bms is dedicated to ensuring that people with disabilities can excel through a transparent recruitment process reasonable workplace accommodationsadjustments and ongoing support in their roles applicants can request a reasonable workplace accommodationadjustment prior to accepting a job offer if you require reasonable accommodationsadjustments in completing this application or in any part of the recruitment process direct your inquiries to adastaffingsupportbmscom  visit careersbmscom eeo accessibility to access our complete equal employment opportunity statement

bms cares about your wellbeing and the wellbeing of our staff customers patients and communities as a result the company strongly recommends that all employees be fully vaccinated for covid19 and keep up to date with covid19 boosters

bms will consider for employment qualified applicants with arrest and conviction records pursuant to applicable laws in your area

any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations",601
602,602,data engineer,coindcx,"about coindcxat coindcx we are on a mission to lead the change toward a decentralised world and we believe our employees are at the heart of itour journey over the past five years has been exhilarating as we have made significant strides  from becoming a unicorn to being a compliant exchange onboarding over 15 million users to launching an innovative selfcustodial defi app called okto we are backed by investors such as pantera b capital group bain capital ventures and coinbase ventures among others building on this momentum our focus now is on developing cuttingedge products addressing accessibility and security challenges and bridging the gap between people and web3 technologiesjoin us at coindcx where change starts together and be part of an exciting journey to shape the future of the web3 space we offer a dynamic and inclusive work environment ample opportunities for professional growth and the chance to make a meaningful impact in the crypto and web3 ecosystem
the web 3 space is still new and were just getting started 
who you areyoure passionate about everything vda and tradingyou take ownership and have a thirst for excellence with an impactdriven and resultoriented mindsetyou grow while helping others grow with youyou thrive on change have attention to detail and have a passion for qualityyou love exploring new ideas to build something useful and are always curious to learn
what will you dodesign and build reliable scalable cicddriven streaming and batch data engineering pipelineswork with data scientists ml engineers and stakeholders to build a platform for enabling datadriven decisionsoversee and govern the expansion of the current data architecture and the optimization of query and data warehousecreate a conceptual data model to identify key business entities and visualize their relationshipscreate detailed logical models using business intelligence logic by identifying all the entities attributes and their relationshipscreate a taxonomydata dictionary to communicate data requirements that are important to business stakeholders work on acquiring external data sets through apis andor websockets and prepare physical data models on top of thatacts as team lead stay current with new and evolving tech stack guide and mentor team of data engineers
what will you bring1 to 3 years of experience in building data engineering pipelines and data governance using modern cloud architectureproficient in databricks spark data lake kakakinesisexperience in any cloud dw redshiftsnowflakebigquerysynapseexperts programming in any one  pythonscalajava python preferreddesign testdriven development code review and implement cicd using githubgitlabdockergood understanding of etlelt technology and processesbasic knowledge of apache airflow would be a plusbasic knowledge of data modeling tools dbt data form alteryx informatic etc would be a plus
whats in it for youunlimited wellness leavespersonalised mental wellness  caregiving sessions by expertsrecharge and rejuvenate through team outingsdyob  design your own benefitaccess to udemy for business",602
